기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_계,기타,합계
2022-04-23,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-24,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-25,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-26,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-27,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-28,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-29,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-30,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-05-01,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
2022-05-02,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
2022-05-03,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
2022-05-04,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
2022-05-05,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
2022-05-06,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
2022-05-07,39.373545,128.8342372,141.1443383,128.9745583,354.8544676,161.9411271,167.5967902,138.376259,138.9915091,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,153.4685653,150.9666259,110.7295217
