top_word,count,label,confidence
번영,2,positive,"{'negative': 0.02093874, 'positive': 99.85924, 'neutral': 0.119822055}"
남아도,1,negative,"{'negative': 99.98022, 'positive': 0.0061575267, 'neutral': 0.013622588}"
이자,1,positive,"{'negative': 0.021370534, 'positive': 99.870346, 'neutral': 0.10828299}"
기자,2,neutral,"{'negative': 0.04151507, 'positive': 0.7041714, 'neutral': 99.25431}"
밑그림,1,neutral,"{'negative': 0.028095135, 'positive': 0.02167137, 'neutral': 99.95023}"
순직,1,negative,"{'negative': 79.86057, 'positive': 0.06591739, 'neutral': 20.073511}"
우즈벡,1,neutral,"{'negative': 0.024440795, 'positive': 0.023278352, 'neutral': 99.95228}"
신인,1,positive,"{'negative': 0.018055407, 'positive': 99.96684, 'neutral': 0.0151029425}"
우려,1,negative,"{'negative': 99.9818, 'positive': 0.008638489, 'neutral': 0.009561474}"
갈등,1,negative,"{'negative': 99.971016, 'positive': 0.00676539, 'neutral': 0.022215495}"
지법,1,neutral,"{'negative': 0.058213305, 'positive': 0.025468573, 'neutral': 99.91632}"
애월,2,neutral,"{'negative': 0.2207783, 'positive': 2.8625424, 'neutral': 96.91668}"
토레스,1,neutral,"{'negative': 0.04973792, 'positive': 0.05559863, 'neutral': 99.89466}"
대세,1,neutral,"{'negative': 0.016182227, 'positive': 0.029520588, 'neutral': 99.9543}"
주택,4,negative,"{'negative': 99.97274, 'positive': 0.008308015, 'neutral': 0.018953612}"
안정화,1,positive,"{'negative': 0.020966835, 'positive': 99.79672, 'neutral': 0.18230702}"
난리,1,negative,"{'negative': 99.9624, 'positive': 0.006549213, 'neutral': 0.031050373}"
디지털,1,neutral,"{'negative': 0.018710246, 'positive': 0.18348928, 'neutral': 99.7978}"
가격,2,positive,"{'negative': 0.00995304, 'positive': 99.947815, 'neutral': 0.04223542}"
가격,2,negative,"{'negative': 99.96666, 'positive': 0.004720351, 'neutral': 0.028620332}"
가격,2,neutral,"{'negative': 0.14603041, 'positive': 1.9102725, 'neutral': 97.943695}"
가격,2,neutral,"{'negative': 0.2848257, 'positive': 14.227379, 'neutral': 85.48779}"
가격,2,negative,"{'negative': 94.61483, 'positive': 0.013935752, 'neutral': 5.3712325}"
가격,2,neutral,"{'negative': 0.2933067, 'positive': 0.041128647, 'neutral': 99.665565}"
가격,2,neutral,"{'negative': 0.0334546, 'positive': 0.12977184, 'neutral': 99.83678}"
가격,2,neutral,"{'negative': 0.06360202, 'positive': 0.081259675, 'neutral': 99.85514}"
가격,2,negative,"{'negative': 99.27107, 'positive': 0.04541896, 'neutral': 0.68350714}"
가격,2,neutral,"{'negative': 0.07225668, 'positive': 0.11156482, 'neutral': 99.81618}"
가격,2,negative,"{'negative': 99.80953, 'positive': 0.008931035, 'neutral': 0.1815364}"
가격,2,neutral,"{'negative': 0.027933631, 'positive': 0.04880638, 'neutral': 99.92326}"
가격,2,neutral,"{'negative': 2.497675, 'positive': 2.8662992, 'neutral': 94.636024}"
가격,2,neutral,"{'negative': 0.1825162, 'positive': 0.08900551, 'neutral': 99.72848}"
가격,2,neutral,"{'negative': 0.024479676, 'positive': 0.032497395, 'neutral': 99.94302}"
