일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2022-10-28,2313.8,1702.656,648.792,267.36,0,4932.608
2022-10-29,1402.6,1250.24,759.024,318.92,0,3730.784
2022-10-30,1602.2,1458.88,804.96,364.76,0,4230.8
2022-10-31,1377.4,1274.4,804.528,364.28,0,3820.608
2022-11-01,1471,1713.216,769.752,353.2,0,4307.168
2022-11-02,2242.4,1660.224,720.72,328.08,0,4951.424
2022-11-03,2529.8,1822.016,804.528,301.36,0,5457.704
2022-11-04,2427.4,1229.728,640.08,302.8,0,4600.008
2022-11-05,2262.8,1480.672,759.96,361.44,0,4864.872
2022-11-06,2227.8,1643.68,750.6,347.88,0,4969.96
2022-11-07,2290.6,1681.12,658.656,304.64,0,4935.016
2022-11-08,2301.4,1714.272,726.12,333.88,0,5075.672
2022-11-09,2050.4,1565.568,625.32,340.16,0,4581.448
2022-11-10,561,994.912,169.272,106.84,0,1832.024
2022-11-11,615,1589.088,251.28,134.48,0,2589.848
2022-11-12,207.4,537.824,60.264,22.64,0,828.128
2022-11-13,243.2,137.152,55.8,49.84,0,485.992
2022-11-14,1622.4,682.816,358.848,152.72,0,2816.784
2022-11-15,2289.8,1552.992,746.784,330.08,0,4919.656
2022-11-16,1972.6,1146.752,592.488,243.4,0,3955.24
2022-11-17,910.2,622.496,166.104,0,0,1698.8
2022-11-18,1328.8,1408.288,652.68,0,0,3389.768
2022-11-19,298.2,846.752,370.224,0,0,1515.176
2022-11-20,134.8,121.696,11.016,0,0,267.512
2022-11-21,1604.6,1430.752,524.808,0,0,3560.16
2022-11-22,203.8,163.552,14.688,0,0,382.04
2022-11-23,891.4,450.816,426.456,0,0,1768.672
2022-11-24,1986.6,1375.936,605.664,0,0,3968.2
2022-11-25,1846.8,1461.28,597.672,41.12,0,3946.872
2022-11-26,1195.4,936.256,460.584,188.16,0,2780.4
2022-11-27,1653.4,1225.344,483.264,217.52,0,3579.528
2022-11-28,739,1117.408,323.64,139.16,0,2319.208
2022-11-29,214.8,113.76,67.176,50.44,0,446.176
2022-11-30,162.4,129.536,10.728,12.12,0,314.784
2022-12-01,418.8,412.768,89.856,86.56,0,1007.984
2022-12-02,1395.6,942.816,515.664,245.04,0,3099.12
2022-12-03,113.6,261.696,6.264,0.32,0,381.88
2022-12-04,589.4,650.4,149.616,111.48,0,1500.896
2022-12-05,855.8,616.64,212.112,135.16,0,1819.712
2022-12-06,1322.2,1053.92,253.368,148.52,0,2778.008
2022-12-07,1575,1050.976,445.752,183.6,0,3255.328
2022-12-08,881.6,720.8,267.48,133.4,0,2003.28
2022-12-09,628.2,498.24,196.992,101.24,0,1424.672
2022-12-10,766.4,727.84,277.848,120.36,0,1892.448
2022-12-11,1127,673.728,501.192,179.52,0,2481.44
2022-12-12,658.8,226.368,74.304,36.8,0,996.272
2022-12-13,1217.2,666.752,360.504,149.16,0,2393.616
2022-12-14,498.4,578.656,244.296,59.8,0,1381.152
2022-12-15,647.4,1119.04,504.936,189.36,198.145,2658.881
2022-12-16,291,149.92,118.872,76.44,1267.696,1903.928
2022-12-17,20.4,284.096,77.616,33.16,663.136,1078.408
2022-12-18,449,476.864,161.064,32.88,32.542,1152.35
2022-12-19,558.4,434.784,177.048,92.76,0,1262.992
2022-12-20,1863.8,1480.608,551.664,204.48,0,4100.552
2022-12-21,636.2,168.544,96.408,27.92,0,929.072
2022-12-22,0,80.96,8.208,1.76,0,90.928
2022-12-23,147.8,239.616,298.944,72.84,0,759.2
2022-12-24,21.6,78.272,94.896,7.28,0,202.048
2022-12-25,777.4,298.976,224.64,69.44,0,1370.456
2022-12-26,686.4,300.064,275.184,124.8,126.552,1513
2022-12-27,1204.2,391.904,459.288,189.24,3793.686,6038.318
2022-12-28,601,330.112,141.696,90.08,1729.795,2892.683
2022-12-29,451,281.92,230.328,123.84,1631.442,2718.53
2022-12-30,775.2,436.192,312.408,142.92,2014.717,3681.437
2022-12-31,2021.2,1343.616,566.712,215.16,4216.734,8363.422
2023-01-01,954.8,615.136,420.048,179.76,2112.343,4282.087
2023-01-02,1563.6,793.152,637.632,250.4,5069.336,8314.12
2023-01-03,1241,682.08,375.408,172.08,3370.64,5841.208
2023-01-04,1881,1472.928,567.936,208.68,4740.299,8870.843
2023-01-05,1659.4,1020.736,464.184,175.68,3158.03,6478.03
2023-01-06,644.2,589.152,146.16,82.36,1415.219,2877.091
2023-01-07,1933.4,1330.016,509.832,210.52,3999.786,7983.554
2023-01-08,2020.6,1433.12,621.792,258.4,4836.48,9170.392
2023-01-09,1750.8,657.792,417.672,158.76,4059.086,7044.11
2023-01-10,1802,1574.144,429.48,169.88,2803.683,6779.187
2023-01-11,1910,1522.496,670.824,264.84,4665.816,9033.976
2023-01-12,231.6,467.2,153.288,78.96,764.379,1695.427
2023-01-13,401.4,227.68,49.104,33.12,402.076,1113.38
2023-01-14,356.2,93.92,52.776,46,1321.21,1870.106
2023-01-15,137.4,54.24,9.216,23.76,651.563,876.179
2023-01-16,316.8,183.456,115.416,82.16,1352.306,2050.138
2023-01-17,259,103.904,29.016,24.28,1225.029,1641.229
2023-01-18,928.2,373.856,225.72,134.68,2267.099,3929.555
2023-01-19,935,423.328,135.144,95.48,1584.438,3173.39
2023-01-20,1033.2,654.336,424.008,191.28,1337.119,3639.943
2023-01-21,1425.8,401.504,393.264,212.4,625.531,3058.499
2023-01-22,190.4,199.776,8.28,4.28,364.47,767.206
2023-01-23,1494.6,855.104,546.552,236.32,3674.364,6806.94
2023-01-24,348.8,239.392,50.688,0.92,684.831,1324.631
2023-01-25,1634.4,1254.304,385.56,145.96,4696.188,8116.412
2023-01-26,1601,793.088,344.088,170.84,3340.267,6249.283
2023-01-27,38.6,281.184,216.216,91.2,1227.922,1855.122
2023-01-28,23.8,199.008,281.304,134.64,1771.739,2410.491
2023-01-29,180.2,341.344,33.912,38.04,1417.39,2010.886
2023-01-30,2349.8,1753.28,863.568,368.48,5924.834,11259.962
2023-01-31,2285.2,1836.48,908.856,343.84,5639.186,11013.562
2023-02-01,1983,1336.384,727.992,242,4752.595,9041.971
2023-02-02,2211.6,1752.224,849.6,340.28,5138.761,10292.465
2023-02-03,1905.4,706.24,647.496,254.36,4927.597,8441.093
2023-02-04,2315.6,1669.28,893.232,353.32,5496.001,10727.433
2023-02-05,2288.8,1794.304,879.84,347.28,5557.469,10867.693
2023-02-06,311.8,294.112,88.56,59.56,631.317,1385.349
2023-02-07,1750.4,1481.824,685.728,239.84,3816.103,7973.895
2023-02-08,2510.2,1806.656,968.4,366.6,5757.785,11409.641
2023-02-09,408.4,489.664,147.96,92.32,865.62,2003.964
2023-02-10,820.6,551.424,359.064,190.8,3652.671,5574.559
2023-02-11,516.6,469.92,94.68,91.12,1033.392,2205.712
2023-02-12,489.8,350.336,162.432,83.04,1170.07,2255.678
2023-02-13,372.6,426.784,127.368,86.64,999.404,2012.796
2023-02-14,2635,1556.48,821.232,335.52,6026.799,11375.031
2023-02-15,641,261.952,30.384,52.6,2110.898,3096.834
2023-02-16,496.2,136.16,51.12,53.52,1990.853,2727.853
2023-02-17,369,529.728,119.376,92.52,933.595,2044.219
2023-02-18,220.2,300.032,104.76,66.24,775.225,1466.457
2023-02-19,460.4,405.984,188.712,120.84,2157.179,3333.115
2023-02-20,2317,1741.248,856.656,381.48,5377.401,10673.785
2023-02-21,2814.8,1850.496,862.2,430.72,6332.693,12290.909
2023-02-22,941.6,855.648,373.896,187.08,2188.999,4547.223
2023-02-23,238.2,456.288,124.344,103.32,2856.471,3778.623
2023-02-24,1558,1373.696,566.496,304.4,3696.06,7498.652
2023-02-25,3050.6,941.6,624.672,387.68,6677.638,11682.19
2023-02-26,3038.4,2140.096,922.032,459.88,6794.791,13355.199
2023-02-27,2830.2,2140.512,862.488,433.6,6446.23,12713.03
2023-02-28,2863,2151.104,539.928,399.4,6564.828,12518.26
2023-03-01,422.2,397.6,82.152,78.44,1163.561,2143.953
2023-03-02,2948.6,2205.184,588.744,361.2,6462.862,12566.59
2023-03-03,2441,1863.424,573.336,487.4,5573.378,10938.538
2023-03-04,2342.6,1850.144,358.992,372,5468.52,10392.256
2023-03-05,1850.6,1824.896,744.696,344.4,5080.183,9844.775
2023-03-06,1725.6,2108.48,802.44,394.8,3570.229,8601.549
2023-03-07,2559.4,1877.92,745.632,308.04,5801.172,11292.164
2023-03-08,2375.2,1704.992,661.032,309.56,4919.642,9970.426
2023-03-09,1898.2,1625.28,600.624,293.92,4279.649,8697.673
2023-03-10,2605.8,1928.384,774.216,378.76,5862.64,11549.8
2023-03-11,2386.6,1742.24,540.36,321.08,5268.205,10258.485
2023-03-12,591.2,415.456,150.192,98.6,1588.054,2843.502
2023-03-13,3197,2331.52,569.232,499,7086.223,13682.975
2023-03-14,3135.6,2298.4,310.824,470.96,6932.191,13147.975
2023-03-15,2383.2,2058.688,615.816,335.36,5767.909,11160.973
